Test_id,Friction Reducer,Form,Charge Density (%),TDS,Boron (B),Barium (Ba+2),Calcium (Ca+2),Iron (Fe+2),Potassium (K+),Magnesium (Mg+2),Manganese (Mn+2),Sodium (Na+),Strontium (Sr+2),Zinc (Zn+2),Fluoride (F⁻),Chlorides (Cl-),Nitrite (NO₂⁻),Bromide (Br⁻),Nitrate (NO₃⁻),Phosphate (PO₄³⁻),Sulfate (SO4-2),Bicarbonates (HCO3-),Carbonates (CO3-2),DR (R+),500,300,250,200,150,100,50,25,12.5,0,R^2
25,K,CO_ePAM,26,51504,44.78,310.80,201.90,0.00,315.00,66.19,0.00,17240.00,74.83,0.00,0.00,30829.37,0.00,0.00,0.00,0.00,0.00,2421.00,0.00,0.01,1.378,0.872,0.728,0.595,0.438,0.301,0.144,0.055,0.014,0.000,0.9976
26,L,Dry,30,51504,44.78,310.80,201.90,0.00,315.00,66.19,0.00,17240.00,74.83,0.00,0.00,30829.37,0.00,0.00,0.00,0.00,0.00,2421.00,0.00,0.01,1.000,1.301,1.089,0.910,0.663,0.436,0.213,0.094,0.032,0.000,0.9945
27,M,ePAM,30,245,0.00,0.00,31.69,0.09,3.73,3.04,0.00,27.27,0.10,0.03,0.00,41.39,0.00,0.00,0.00,0.00,30.77,107.00,0.00,0.01,2.810,2.046,1.778,1.479,1.083,0.719,0.351,0.168,0.060,0.000,0.9976
28,N,ePAM,30,245,0.00,0.00,31.69,0.09,3.73,3.04,0.00,27.27,0.10,0.03,0.00,41.39,0.00,0.00,0.00,0.00,30.77,107.00,0.00,0.01,2.468,1.718,1.436,1.157,0.890,0.566,0.276,0.123,0.041,0.000,0.9994
29,C,Dry,30,245,0.00,0.00,31.69,0.09,3.73,3.04,0.00,27.27,0.10,0.03,0.00,41.39,0.00,0.00,0.00,0.00,30.77,107.00,0.00,0.01,2.180,1.494,1.165,0.949,0.680,0.434,0.210,0.109,0.036,0.000,0.9938
30,O,Dry,30,1113,0.00,0.00,122.70,0.00,5.43,32.65,1.17,144.80,0.98,0.00,1.21,178.50,0.00,29.58,32.54,0.00,258.80,304.00,0.00,0.41,1.488,1.023,0.875,0.686,0.553,0.366,0.193,0.116,0.099,0.000,0.9904
31,O,Dry,30,10366,9.70,1.49,214.30,69.30,30.56,37.81,2.06,3267.00,18.19,0.28,0.00,5748.00,0.00,74.69,0.00,0.00,162.30,731.00,0.00,0.05,1.783,1.104,0.942,0.816,0.623,0.375,0.189,0.089,0.044,0.000,0.9957
32,O,Dry,30,28245,19.45,18.22,370.70,1.08,73.52,62.41,0.28,9934.00,55.17,0.01,0.00,16987.00,0.00,188.90,0.00,0.00,23.22,877.00,0.00,0.03,2.062,1.356,1.111,0.910,0.666,0.416,0.197,0.098,0.027,0.000,0.9958
33,C,Dry,30,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.055,1.208,1.097,0.850,0.685,0.422,0.195,0.081,0.019,0.000,0.9971
34,P,Dry,30,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.195,1.487,1.239,1.030,0.758,0.4665,0.244,0.151,0.083,0.000,0.99
35,Q,ePAM,30,167025,0.00,0.00,3547.33,0.00,677.58,548.13,0.00,60540.83,576.43,0.00,0.00,100375.60,0.00,0.00,0.00,0.00,534.54,224.50,0.00,0.04,2.477,1.631,1.475,1.209,0.896,0.623,0.285,0.146,0.070,0.000,0.9881
36,Q,ePAM,30,119141,0.00,0.00,2516.00,0.00,447.80,416.20,0.00,40890.00,423.00,0.00,0.00,73625.15,0.00,0.00,0.00,0.00,575.52,347.80,0.00,0.05,2.368,1.662,1.388,1.150,0.835,0.566,0.303,0.127,0.065,0.000,0.9873
37,Q,ePAM,30,42320,0.00,0.00,1035.00,0.00,180.30,178.30,0.00,15500.00,165.00,0.00,0.00,24635.20,0.00,0.00,0.00,0.00,387.44,238.70,0.00,0.05,2.521,1.502,1.422,1.195,0.812,0.582,0.311,0.151,0.071,0.000,0.9927
38,R,CO_ePAM,30,42320,0.00,0.00,1035.00,0.00,180.30,178.30,0.00,15500.00,165.00,0.00,0.00,24635.20,0.00,0.00,0.00,0.00,387.44,238.70,0.00,0.05,2.424,1.66,1.378,1.114,0.835,0.545,0.277,0.123,0.041,0.000,0.9915
39,E,Dry,30,9976,16.15,1.75,45.26,1.35,37.11,6.36,0.00,3629.00,9.40,0.00,0.00,4761.68,0.00,0.00,0.00,0.00,212.79,1220.50,34.70,0.01,2.180,1.404,1.324,1.048,0.779,0.49,0.238,0.073,0.064,0.000,0.9867
40,Q,ePAM,30,152262,27.13,0.00,2606.50,0.00,659.55,436.75,0.00,55135.00,641.55,0.00,0.00,91078.36,0.00,697.97,0.00,0.00,607.72,372.00,0.00,0.04,2.389,1.657,1.423,1.160,0.874,0.601,0.268,0.126,0.050,0.000,0.9858
