Friction Reducer,Form,Charge Density (%),TDS,Boron (B),Barium (Ba+2),Calcium (Ca+2),Iron (Fe+2),Potassium (K+),Magnesium (Mg+2),Manganese (Mn+2),Sodium (Na+),Strontium (Sr+2),Zinc (Zn+2),Fluoride (F⁻),Chlorides (Cl-),Nitrite (NO₂⁻),Bromide (Br⁻),Nitrate (NO₃⁻),Phosphate (PO₄³⁻),Sulfate (SO4-2),Bicarbonates (HCO3-),500,300,250,200,150,100,50,25,"12,5",0,R^2
A,ePAM,32,"5876,0","6,0","0,3","385,5",0,"54,9","89,1","0,1",1.527,"10,7","0,46",0,2.855,0,"26,2",0,0,"904,7",17,"2447,000","1,725","1,470","1,328","0,899","0,595","0,293","0,139","0,050","0,000","0,978"
A,ePAM,32,164384,"25,7","4,4","8908,0","0,0","1082,0","940,4","0,0",54.790,"279,8","0,43",0,96.414,0,"419,4",0,0,"1151,9",369,"2,381","1,790","1,530","1,470","1,004","0,660","0,334","0,151","0,065","0,000","0,954"
A,ePAM,32,89081,"18,1","4,7","5255,0",0,"469,8","549,3",0,25.960,"116,5","0,63",0,54.754,0,"280,1",0,0,"1304,2",369,"2,395","1,802","1,514","1,414","0,952","0,644","0,323","0,169","0,077","0,000","0,9628"
